'GLCM_pan','Mean_Green','Mean_Red','Mean_NIR','SD_pan',outlier
0.656710786,0.050984097,0.044570082,0.218476379,0.132109933,1
0.680591077,0.049424941,0.04193925,0.177275234,0.106749207,1
0.734892218,0.047395563,0.042926171,0.259033961,0.143741214,1
0.698087277,0.035316555,0.027065644,0.127064766,0.09569742,1
0.738927455,0.046075643,0.04022756,0.295500749,0.112480794,1
0.645717783,0.062908753,0.057170208,0.345769443,0.185758661,1
0.738953286,0.038857328,0.028862554,0.147395792,0.083415721,1
0.661113141,0.062822133,0.06193981,0.336947443,0.145733632,1
0.715442308,0.066739838,0.060886672,0.315946919,0.076344535,1
0.73383443,0.053705183,0.042959815,0.336468937,0.178505942,1
0.715647524,0.051666556,0.041546725,0.262468034,0.146340639,1
0.74255255,0.04861649,0.039391762,0.237021511,0.105768244,1
0.669091365,0.065455938,0.059336732,0.256287248,0.156680944,1
0.620118969,0.055376957,0.051299574,0.26101962,0.18681272,1
0.730539529,0.042969817,0.042055947,0.220417108,0.111745666,1
0.715356853,0.055700063,0.048487878,0.298768156,0.124177458,1
0.697483771,0.048592519,0.042700971,0.189055979,0.152893431,1
0.663522647,0.047660601,0.045650701,0.16654892,0.095963563,1
0.579667071,0.060367906,0.057915025,0.195035852,0.120781113,1
0.806253377,0.059421505,0.047372453,0.259900717,0.149110413,1
0.741068372,0.043322795,0.041785466,0.16277418,0.081821098,1
0.73634905,0.063211038,0.058866698,0.231302273,0.112493027,1
0.701279636,0.041446682,0.027676769,0.139072918,0.108189026,1
0.783106486,0.03069407,0.018054093,0.207501379,0.069212281,1
0.769906223,0.027380208,0.011283033,0.103254275,0.043150847,1
0.763995392,0.041973649,0.025040364,0.314270499,0.152308662,1
0.723411315,0.060738729,0.053419457,0.3261218,0.126719387,1
0.664322699,0.032793944,0.027258808,0.086890973,0.089806317,1
0.740267569,0.047663672,0.035381626,0.242801986,0.103413428,1
0.651771001,0.036687177,0.027568713,0.093507464,0.078546911,1
0.679785543,0.03592188,0.024938003,0.080474352,0.130041568,1
0.690348696,0.035552944,0.022365327,0.180878838,0.070798189,1
0.73670648,0.042540142,0.034955907,0.121888402,0.091560126,1
0.77785256,0.038231741,0.025378776,0.101774223,0.072192023,1
0.679889564,0.036735771,0.027756291,0.103326219,0.062640092,1
0.713928186,0.033563897,0.021258897,0.169295826,0.135275003,1
0.730321114,0.028409486,0.018239452,0.111111111,0.090570688,1
0.653174057,0.06619068,0.066668337,0.333931705,0.162202043,1
0.67261951,0.058352553,0.051231106,0.340024269,0.191011708,1
0.641851207,0.056795766,0.052218881,0.276388476,0.141808524,1
0.755738646,0.048988825,0.044014361,0.237898758,0.128331354,1
0.646974655,0.046980859,0.043062456,0.226785528,0.213541025,1
0.731466184,0.038258864,0.029152742,0.099403299,0.115033612,1
0.641913207,0.068877497,0.06792687,0.30118588,0.118280022,1
0.738123821,0.067817878,0.064286256,0.331274131,0.140994883,1
0.672749822,0.052285926,0.045393472,0.231387349,0.116827291,1
0.698904514,0.047346066,0.043925427,0.209707667,0.136771496,1
0.652742987,0.048184422,0.044198373,0.14959814,0.139748243,1
0.652038993,0.061806591,0.052465693,0.334743329,0.175139586,1
0.721729899,0.055608884,0.048984044,0.276093709,0.170386554,1
