'att1','att2','att3','att4','att5','att6','att7','att8','att9','att10','att11','att12','att13','att14','att15','att16','att17','att18','att19','att20','att21',outlier
0.323657475,0.793785311,0.848661234,0.660062565,0.622244489,0.755102041,0.760761589,0.67165493,0.603723404,0.636170213,0.454905847,0.406215316,0.28189911,0.203557312,0.286607143,0.474383302,0.35248296,0.358857143,0.275626424,0.46593674,0.220883534,1
0.423802612,0.769774011,0.632130384,0.572471324,0.74749499,0.670408163,0.715231788,0.617957746,0.637411348,0.457446809,0.291377602,0.59045505,0.302670623,0.375494071,0.296428571,0.383301708,0.545277507,0.394285714,0.451025057,0.47080292,0.46854083,1
0.477503628,0.580508475,0.554132712,0.47653806,0.851703407,0.509183673,0.745860927,0.785211268,0.508865248,0.519148936,0.436075322,0.256381798,0.341246291,0.384387352,0.229464286,0.350094877,0.11781889,0.406857143,0.149202733,0.402676399,0.3708166,1
0.64586357,0.570621469,0.525029104,0.631908238,0.682364729,0.382653061,0.478476821,0.608274648,0.476950355,0.190425532,0.42814668,0.12763596,0.50049456,0.555335968,0.463392857,0.537950664,0.564751704,0.485714286,0.576309795,0.518248175,0.597054886,1
0.2191582,0.690677966,0.530849825,0.715328467,0.687374749,0.571428571,0.649006623,0.5625,0.523049645,0.303191489,0.258671952,0.072142064,0.190900099,0.408102767,0.322321429,0.425996205,0.400194742,0.701714286,0.51594533,0.294403893,0.463186078,1
0.195936139,0.199152542,0.642607683,0.551616267,0.528056112,0.607142857,0.644039735,0.541373239,0.512411348,0.406382979,0.373637265,0.543840178,0.164193867,0.597826087,0.39375,0.496204934,0.420642648,0.413714286,0.656036446,0.615571776,0.362784471,1
0.374455733,0.468926554,0.526193248,0.420229406,0.579158317,0.378571429,0.35513245,0.549295775,0.399822695,0.24893617,0.278493558,0.298557159,0.576656775,0.549407115,0.525892857,0.615749526,0.610516066,0.636571429,0.44191344,0.557177616,0.563587684,1
0.32946299,0.555084746,0.542491269,0.803962461,0.655310621,0.776530612,0.629139073,0.632042254,0.653368794,0.421276596,0.505450942,0.258601554,0.363006924,0.376482213,0.316964286,0.255218216,0.380720545,0.248,0.530751708,0.294403893,0.495314592,1
0.42670537,0.278248588,0.691501746,0.684045881,0.795591182,0.628571429,0.597682119,0.551056338,0.567375887,0.489361702,0.306243806,0.26082131,0.31355094,0.318181818,0.416964286,0.476280835,0.497565725,0.509714286,0.509111617,0.409975669,0.190093708,1
0.638606676,0.724576271,0.454016298,0.554744526,0.669338677,0.237755102,0.528145695,0.347711268,0.40248227,0.340425532,0.42913776,0.187569367,0.638971316,0.526679842,0.676785714,0.69829222,0.700097371,0.472,0.5523918,0.609489051,0.65060241,1
0.666182874,0.70480226,0.437718277,0.359749739,0.5250501,0.306122449,0.514900662,0.518485915,0.568262411,0.476595745,0.307234886,0.449500555,0.440158259,0.53458498,0.408035714,0.687855787,0.629016553,0.641142857,0.388382688,0.418491484,0.519410977,1
0.371552975,0.218926554,0.587892899,0.645464025,0.329659319,0.518367347,0.456953642,0.487676056,0.404255319,0.288297872,0.313181368,0.543840178,0.636993076,0.59486166,0.479464286,0.552182163,0.35150925,0.698285714,0.585421412,0.414841849,0.420348059,1
0.404934688,0.347457627,0.497089639,0.401459854,0.374749499,0.384693878,0.377483444,0.396126761,0.253546099,0.513829787,0.131813677,0.492785794,0.700296736,0.692687747,0.752678571,0.715370019,0.578383642,0.577142857,0.78929385,0.384428224,0.421686747,1
0.552975327,0.752824859,0.474970896,0.532846715,0.436873747,0.241836735,0.295529801,0.428697183,0.273049645,0.418085106,0.371655104,0.580466149,0.661721068,0.796442688,0.684821429,0.641366224,0.717624148,0.965714286,0.660592255,0.442822384,0.530120482,1
0.252539913,0.576271186,0.498253783,0.73096976,0.831663327,0.629591837,0.847682119,0.723591549,0.717198582,0.440425532,0.140733399,0.321864595,0.368941642,0.473320158,0.16875,0.338709677,0.312560857,0.332571429,0.365603645,0.441605839,0.356091031,1
0.452830189,0.627118644,0.50523865,0.484880083,0.378757515,0.391836735,0.439569536,0.42693662,0.266843972,0.479787234,0.363726462,0.561598224,0.379821958,0.757905138,0.641964286,0.809297913,0.675754625,0.634285714,0.233485194,0.51946472,0.50334672,1
0.712626996,0.550847458,0.511059371,0.790406674,0.677354709,0.683673469,0.735927152,0.558978873,0.488475177,0.507446809,0.32011893,0.418423973,0.229475767,0.145256917,0.141071429,0.466793169,0.604673807,0.451428571,0.350797267,0.357664234,0.376171352,1
0.310595065,0.576271186,0.46798603,0.791449426,0.730460922,0.552040816,0.581125828,0.545774648,0.567375887,0.515957447,0.270564916,0.486126526,0.430267062,0.244071146,0.416071429,0.460151803,0.405063291,0.540571429,0.351936219,0.212895377,0.3708166,1
0.227866473,0.553672316,0.627473807,0.562043796,0.846693387,0.624489796,0.780629139,0.686619718,0.578900709,0.494680851,0.150644202,0.354051054,0.363996044,0.463438735,0.361607143,0.437381404,0.437195716,0.490285714,0.619589977,0.454987835,0.100401606,1
0.381712627,0.624293785,0.59371362,0.295099062,0.306613226,0.292857143,0.339403974,0.392605634,0.538120567,0.323404255,0.448959366,0.35627081,0.545004946,0.597826087,0.610714286,0.562618596,0.690360273,0.689142857,0.537585421,0.579075426,0.234270415,1
0.352685051,0.628531073,0.626309662,0.498435871,0.559118236,0.693877551,0.523178808,0.528169014,0.45035461,0.534042553,0.25173439,0.520532741,0.258160237,0.526679842,0.328571429,0.556925996,0.343719572,0.48,0.335990888,0.300486618,0.578313253,1
0.529753266,0.384180791,0.916181607,0.690302398,0.611222445,0.665306122,0.769039735,0.799295775,0.619680851,0.604255319,0.298315164,0.456159822,0.359050445,0.363636364,0.357142857,0.208728653,0.40993184,0.378285714,0.283599089,0.571776156,0.392235609,1
0.328011611,0.343220339,0.68451688,0.468196038,0.544088176,0.285714286,0.381622517,0.471830986,0.419326241,0.357446809,0.395441031,0.461709212,0.584569733,0.596837945,0.526785714,0.514231499,0.670886076,0.546285714,0.599088838,0.590024331,0.353413655,1
0.335268505,0.519774011,0.674039581,0.359749739,0.564128257,0.507142857,0.537251656,0.414612676,0.651595745,0.307446809,0.399405352,0.580466149,0.502472799,0.401185771,0.476785714,0.828273245,0.592989289,0.507428571,0.527334852,0.446472019,0.821954485,1
0.267053701,0.374293785,0.210710128,0.294056309,0.330661323,0.296938776,0.305463576,0.252640845,0.213652482,0.20106383,0.410307235,0.412874584,0.46785361,0.765810277,0.78125,0.904174573,0.709834469,0.632,0.919134396,0.474452555,0.62248996,1
0.283018868,0.464689266,0.516880093,0.359749739,0.246492986,0.295918367,0.253311258,0.354753521,0.233156028,0.25106383,0.472745292,0.379578246,0.547972305,0.734189723,0.688392857,0.686907021,0.382667965,0.705142857,0.724373576,0.632603406,0.52476573,1
0.397677794,0.403954802,0.526193248,0.710114703,0.508016032,0.529591837,0.522350993,0.480633803,0.461879433,0.471276596,0.348860258,0.534961154,0.623145401,0.528656126,0.659821429,0.511385199,0.593962999,0.832,0.525056948,0.644768856,0.543507363,1
0.301886792,0.812146893,0.568102445,0.338894682,0.357715431,0.333673469,0.308774834,0.181338028,0.204787234,0.241489362,0.224975223,0.450610433,0.609297725,0.766798419,0.809821429,0.723908918,0.696202532,0.579428571,0.575170843,0.527980535,0.530120482,1
0.323657475,0.775423729,0.586728754,0.601668405,0.551102204,0.628571429,0.54718543,0.605633803,0.554078014,0.560638298,0.39444995,0.384017758,0.347181009,0.318181818,0.358035714,0.357685009,0.436222006,0.467428571,0.384965831,0.435523114,0.714859438,1
0.814223512,0.329096045,0.548311991,0.471324296,0.337675351,0.423469388,0.378311258,0.407570423,0.356382979,0.332978723,0.555996036,0.5427303,0.59347181,0.526679842,0.658035714,0.629032258,0.650438169,0.811428571,0.535307517,0.643552311,0.34939759,1
0.373004354,0.538135593,0.492433062,0.307612096,0.533066132,0.207142857,0.229304636,0.286971831,0.484929078,0.00106383,0.186323092,0.285238624,0.739861523,0.492094862,0.867857143,0.710626186,0.70788705,0.686857143,0.5,0.793187348,0.508701473,1
0.582002903,0.461864407,0.562281723,0.688216893,0.523046092,0.386734694,0.559602649,0.405809859,0.42287234,0.337234043,0.505450942,0.55826859,0.404549951,0.32312253,0.472321429,0.388994307,0.561830574,0.477714286,0.506833713,0.307785888,0.325301205,1
0.641509434,0.59180791,0.619324796,0.44004171,0.336673347,0.191836735,0.487582781,0.300176056,0.464539007,0.35106383,0.239841427,0.490566038,0.53214639,0.796442688,0.608035714,0.675521822,0.601752678,0.809142857,0.554669704,0.501216545,0.198125837,1
0.433962264,0.45480226,0.381839348,0.555787278,0.589178357,0.631632653,0.503311258,0.566901408,0.49822695,0.511702128,0.198216056,0.429522752,0.316518299,0.374505929,0.449107143,0.426944972,0.58812074,0.628571429,0.444191344,0.642335766,0.298527443,1
0.303338171,0.604519774,0.640279395,0.519290928,0.621242485,0.602040816,0.557119205,0.463028169,0.40070922,0.289361702,0.32111001,0.566037736,0.612265084,0.59486166,0.598214286,0.489563567,0.444985394,0.473142857,0.514806378,0.474452555,0.634538153,1
0.373004354,0.751412429,0.530849825,0.88738269,0.647294589,0.826530612,0.654801325,0.639084507,0.515070922,0.353191489,0.39444995,0.209766926,0.340257171,0.279644269,0.244642857,0.392789374,0.145082765,0.180571429,0.486332574,0.574209246,0.39892905,1
0.41509434,0.68079096,0.658905704,0.73826903,0.391783567,0.363265306,0.391556291,0.401408451,0.401595745,0.519148936,0.075322101,0.408435072,0.59446093,0.690711462,0.642857143,0.637571157,0.460564752,0.662857143,0.642369021,0.51459854,0.424364123,1
0.339622642,0.596045198,0.715948778,0.504692388,0.471943888,0.715306122,0.649834437,0.602992958,0.711879433,0.417021277,0.218037661,0.380688124,0.400593472,0.303359684,0.222321429,0.151802657,0.47127556,0.590857143,0.359908884,0.403892944,0.429718876,1
